,Unnamed: 0,movie,lifetime_collection,opening_day,end_of_opening_weekend,end_of_week_1,end_of_week_2,end_of_week_3,end_of_week_4,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_15,day_18,day_19,day_22,day_29,day_14,day_16,day_17,day_20,day_21,day_23,day_24,day_25,day_26,day_27,day_28,day_30,end_of_opening_week,year
380,561,Jigariyaa,0.16,0.02,0.07,0.16,0.0,0.0,0.0,0.02,0.05,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014.0
381,563,John Day,1.59,0.45,1.5,0.0,0.0,0.0,0.0,0.45,0.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
382,566,Jolly LLB 2,117.0,13.2,50.46,77.71,104.45,112.97,115.32,13.2,17.31,19.95,7.26,9.07,5.89,5.03,4.14,6.35,7.24,2.48,2.45,2.07,1.75,0.61,0.58,1.5,0.33,2.01,2.01,2.5,0.54,0.53,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0,0.0
383,568,Judaa Hoke Bhi,0.25,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
384,569,Judwaa 2,138.61,16.1,59.25,98.08,125.84,137.18,138.31,16.1,20.55,22.6,18.0,8.05,6.72,6.06,4.25,5.75,8.1,2.91,2.45,2.25,1.72,1.25,1.1,0.21,0.16,2.05,2.65,2.82,0.95,0.85,0.23,0.19,0.5,0.0,0.0,0.0,0.0,0,0.0
385,571,Jugjugg Jeeyo,85.03,9.28,36.93,53.66,73.71,80.97,84.13,9.28,12.55,15.1,4.82,4.52,3.97,3.42,3.03,4.75,6.1,1.8,1.75,1.62,0.92,0.7,0.65,0.4,0.15,1.0,1.8,2.05,0.59,0.55,0.75,1.0,0.31,0.26,0.23,0.21,0.25,0,0.0
386,572,Jugni,0.11,,,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016.0
387,573,Junglee,1.75,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019.0
388,574,Junooniyat,4.1,0.4,1.5,3.7,4.05,4.07,4.09,0.4,0.5,0.6,2.2,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016.0
389,575,Just Married,4.17,,,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
390,579,Kaabil,103.84,10.43,67.46,82.18,99.27,103.17,103.65,10.43,18.67,9.77,13.54,15.05,4.1,3.52,3.5,3.6,2.51,4.0,5.2,1.5,1.25,0.9,1.2,0.0,0.0,1.33,1.3,0.55,1.25,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0,2017.0
391,580,Kaagaz 2,0.08,,,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
392,581,Kaagaz Ke Fools,0.37,,,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
393,582,Kaal Trighori,0.22,0.05,0.18,0.22,0.0,0.0,0.0,0.05,0.06,0.07,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
394,584,Kaalakaandi,6.34,1.25,3.85,5.77,6.27,6.32,6.34,1.25,1.2,1.4,0.75,0.7,0.25,0.22,0.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2018.0
395,587,Kaalo,0.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2010.0
396,589,Kaamyaab,0.5,,0.35,0.5,0.0,0.0,0.0,0.35,0.0,0.0,0.05,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2020.0
397,590,Kaanchi,3.9,0.75,2.36,3.77,0.0,0.0,0.0,0.75,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2013.0
